Employee_ID,Age,Gender,City,Education_Level,Department,Experience_Years,Monthly_Salary,Projects_Completed,Training_Hours,Certifications,Work_Life_Balance,Job_Satisfaction,Manager_Rating,Overtime_Hours,Commute_Time_Min,Laptop_Issue_Count,Cafeteria_Rating,Internet_Stability,Last_Promotion_Years,Absenteeism_Days,Performance_Category
10033,24,Male,Hyderabad,PhD,IT,7.7,38501,22,63,2,,3,4,3,175,13,3,Good,3.3,6,Average Performer
10034,45,Male,Bengaluru,Graduate,IT,7.1,121733,28,191,3,5,2,,3,73,2,4,,3.1,11,Average Performer
10035,34,Male,Pune,PhD,Analytics,16.7,33210,30,239,3,1,5,2.1,33,157,12,,Excellent,2,7,Average Performer
10036,29,Female,Hyderabad,Graduate,IT,15,146476,19,73,5,1,,3,26,98,5,2,Average,2.6,22,Average Performer
10037,46,Male,Kolkata,Post Graduate,,2.4,92225,,102,1,2,1,4.4,14,124,3,3,Excellent,4,22,Low Performer
10038,22,Female,Chennai,,Sales,2.4,81721,20,12,4,2,1,4.4,,29,5,2,Good,2,22,Low Performer
10039,40,Female,Chennai,Diploma,HR,8,49449,35,138,2,3,2,3.5,40,156,5,1,Excellent,6.3,15,Average Performer
10040,48,Male,Kolkata,Graduate,HR,2.2,107333,22,60,5,4,2,3.4,70,108,3,4,Average,5.7,1,Low Performer
10041,,Female,,Graduate,,11.3,38782,15,118,2,2,1,3.7,60,47,0,3,Excellent,2.2,2,Average Performer
10042,28,Male,,Post Graduate,HR,3,38243,11,92,0,2,2,2.7,62,63,2,4,Good,0.8,,Low Performer
10043,55,Female,Pune,Graduate,Operations,9.6,47379,34,142,5,2,1,3.6,60,58,10,1,Good,0,14,High Performer
10044,34,Female,Pune,Graduate,,0.6,55780,24,112,2,2,4,2,13,,9,1,Good,4.8,17,Low Performer
10045,37,Female,,Diploma,Sales,6,132944,,27,4,5,2,3.4,22,158,6,3,Average,1.7,9,Low Performer
10046,56,Male,Delhi,Diploma,HR,12.4,37984,17,148,2,3,3,3,64,58,1,3,,0.1,21,Average Performer
10047,24,Male,Delhi,Graduate,Sales,9,18050,28,148,1,2,2,4,31,79,3,1,Good,2.9,1,Average Performer
10048,22,Male,Hyderabad,Diploma,HR,17.6,58205,31,,3,4,1,3.9,40,97,5,4,Good,7.7,16,Average Performer
10049,26,Male,Hyderabad,Post Graduate,HR,15.8,33162,36,112,3,2,,3.1,25,176,4,,Excellent,,15,Average Performer
10050,24,Male,Delhi,Graduate,Sales,6.8,67746,9,10,5,,5,2,,141,13,4,,,23,Average Performer
10051,49,Male,Kolkata,Post Graduate,IT,1.3,29628,10,34,2,1,3,2.8,72,46,5,5,,1.2,24,Low Performer
10052,38,Male,Kolkata,Post Graduate,,15.3,56516,21,131,2,1,3,3.9,15,161,4,2,,0.6,6,Average Performer
10053,46,Male,Hyderabad,Diploma,IT,,105157,34,125,2,3,2,2.2,30,83,8,,Poor,0.1,18,Average Performer
10054,54,Female,,Graduate,Operations,14.9,137558,31,103,2,1,3,2.3,65,85,,1,,7.6,15,Average Performer
10055,30,Male,Kolkata,Post Graduate,IT,2.7,58800,29,170,1,2,3,3.9,31,62,11,2,Poor,2.4,0,Low Performer
10056,56,Male,Delhi,Graduate,HR,18,53788,11,245,4,5,1,4.3,9,90,12,,,3.7,3,Average Performer
10057,34,Male,Pune,Graduate,Analytics,,138754,,54,1,3,2,3,24,111,1,5,Average,3.2,,Average Performer
10058,51,Male,Kolkata,Graduate,Sales,13.2,44240,1,272,1,2,1,3.5,44,143,3,3,Excellent,5.8,9,Low Performer
10059,35,Female,,Diploma,,16.4,82198,21,77,1,1,2,4.8,23,106,0,5,Average,2.5,10,High Performer
10060,,Male,Bengaluru,Post Graduate,Operations,4.6,76739,23,56,,4,5,4.8,2,58,11,,Average,4.3,18,Average Performer
10061,34,,,,Analytics,16.4,30089,9,269,,2,,2.9,,34,12,4,Good,8,14,Average Performer
10062,43,Female,Kolkata,Post Graduate,Finance,,50600,1,,2,4,2,4.4,78,69,6,1,Excellent,3.6,10,Low Performer
10063,,Female,Chennai,Graduate,IT,17.6,26167,21,,1,4,3,3.8,66,,0,2,Average,4.4,2,Average Performer
10064,36,Female,Mumbai,Graduate,Operations,,96352,22,243,2,3,3,4.9,54,41,5,3,Poor,4,1,Average Performer
10065,38,Female,Delhi,Graduate,HR,17.2,103965,4,14,5,5,4,,9,122,9,1,,6.4,,Low Performer
10066,44,Other,Chennai,Graduate,IT,1.4,143540,,232,4,1,1,4.3,54,77,9,5,,,,Low Performer
10067,46,Female,Hyderabad,Post Graduate,IT,12.9,49415,10,297,3,1,2,4.3,21,73,12,2,Poor,1.4,2,Average Performer
10068,45,Female,,Post Graduate,Analytics,,89895,15,56,4,2,5,3.5,13,156,8,3,Poor,6,4,Average Performer
10069,49,Female,Mumbai,Graduate,Finance,8.9,97900,36,,,1,4,4.4,72,67,1,5,Excellent,3.3,14,High Performer
10070,35,Male,Chennai,Graduate,IT,4.4,112330,29,103,4,3,1,2.8,7,98,0,3,Poor,7.3,3,Average Performer
10071,21,Female,Mumbai,Graduate,,12.8,76650,5,85,3,1,,2.4,14,19,11,3,,,16,Low Performer
10072,45,Male,Delhi,Graduate,Sales,3.8,18615,,,2,2,5,3.3,14,179,14,2,Good,4.5,,Average Performer
10073,27,Male,Hyderabad,Diploma,IT,,95937,27,132,5,1,3,4.8,51,178,10,5,Excellent,0.6,0,High Performer
10074,,Male,Kolkata,Post Graduate,,4.9,59936,25,,5,5,1,3.5,69,34,10,1,Average,5.8,11,Average Performer
10075,44,Male,,Post Graduate,Analytics,17.2,,16,85,2,,4,3.9,53,,10,1,,5.5,9,Average Performer
10076,21,Male,Hyderabad,,,1,85875,16,265,2,4,2,3.9,75,83,9,,,5.1,8,Low Performer
10077,28,Male,Mumbai,Graduate,Operations,4,99782,36,10,3,4,2,2.4,41,152,12,,Average,2.1,8,Average Performer
10078,44,Female,Chennai,Graduate,,4.7,79700,25,226,1,5,4,3.2,18,61,2,4,,7.6,24,Average Performer
10079,31,Male,Delhi,,Operations,7.7,26109,1,85,0,3,3,4.1,39,,5,2,Excellent,2.6,19,Low Performer
10080,37,Female,Delhi,Post Graduate,Finance,4.6,41758,5,7,1,2,3,,68,60,14,1,Average,1.2,19,Low Performer
10081,28,Male,Hyderabad,Graduate,Analytics,9.1,126592,20,64,,5,5,2.5,26,157,,2,Good,7.9,13,Average Performer
10082,55,Male,Kolkata,Post Graduate,,15.8,31317,5,225,,2,1,3.2,73,13,,3,Excellent,6,22,Low Performer
10083,55,Female,Chennai,Post Graduate,Sales,13,,36,53,0,3,5,2.3,42,26,10,2,Excellent,3.3,18,Average Performer
10084,53,Female,Kolkata,Post Graduate,Operations,,24800,29,232,2,5,2,2.7,51,81,7,1,,7.5,9,Average Performer
10085,25,Male,Kolkata,Diploma,Sales,2.1,53539,,294,1,1,4,3.1,45,169,3,1,Excellent,0.7,2,Average Performer
10086,48,Female,Chennai,Post Graduate,Sales,12.6,103163,18,,,,,3.6,,128,7,3,Poor,0.7,19,Average Performer
10087,27,Female,Mumbai,Post Graduate,,3.4,34689,2,197,1,4,4,2.7,63,32,6,,Poor,5.5,,Low Performer
10088,,Male,Hyderabad,Graduate,Finance,14.3,99459,16,261,,5,1,,60,146,,5,Average,1.4,,Average Performer
10089,,Male,Hyderabad,Graduate,HR,4.9,56469,29,107,1,3,,4.3,57,162,7,3,Poor,,,Average Performer
10090,32,,,Graduate,Finance,7.8,78012,33,150,,3,,4.9,48,171,4,4,Excellent,6.7,11,Average Performer
10091,54,Female,Hyderabad,Graduate,IT,6.6,78021,16,294,4,5,1,3,78,137,9,4,,,14,Average Performer
10092,53,Male,Delhi,Post Graduate,HR,15.5,42642,35,261,4,4,3,4.1,28,16,6,1,,7.1,4,High Performer
10093,43,Female,Mumbai,Post Graduate,HR,,97003,17,,,4,1,2.8,25,167,13,,Poor,0.3,14,Low Performer
10094,44,Male,Chennai,Graduate,Analytics,10.4,141714,4,193,4,3,2,4.8,26,173,3,4,Excellent,,,Low Performer
10095,57,Male,Hyderabad,Post Graduate,,3,18205,4,182,,2,4,4,,67,12,4,Average,,23,Low Performer
10096,55,Male,Mumbai,Graduate,Finance,12.8,110945,25,20,,3,5,4.4,66,174,0,5,Poor,6.8,15,High Performer
10097,42,Female,Hyderabad,Graduate,Analytics,16.3,30442,33,90,1,5,4,2.1,34,,2,3,,2.8,8,Average Performer
10098,47,Female,Chennai,Graduate,Sales,8.1,109826,14,,3,5,2,3.8,59,110,11,5,Average,1.5,7,Average Performer
10099,55,Female,Pune,Graduate,IT,9,56909,24,221,5,5,4,3.6,60,175,9,2,Poor,1.7,10,Average Performer
10100,21,Male,Chennai,,Finance,16.7,37504,,46,3,4,3,2.9,69,152,14,5,,4.1,8,Average Performer
10101,55,Male,Chennai,Post Graduate,Analytics,9.6,113698,25,198,,1,3,2.8,77,102,8,,Poor,4.8,,Average Performer
10102,57,Male,Chennai,,HR,9,,28,167,5,,1,3.7,2,123,14,2,Excellent,,13,Average Performer
10103,34,Female,Hyderabad,Diploma,Operations,10.6,59716,7,280,,5,4,4.1,32,123,10,3,,,14,Low Performer
10104,23,Male,Bengaluru,Graduate,,12.6,52571,36,134,1,2,4,2.1,,156,3,2,Good,6.6,13,Average Performer
10105,21,Male,Chennai,Graduate,Operations,2.4,111280,10,267,,2,2,3.7,12,167,13,2,Good,3.6,23,Low Performer
10106,25,Female,Delhi,Graduate,Sales,,63038,,181,1,3,1,2.5,28,45,4,,Average,1.4,9,Average Performer
10107,,Male,,Post Graduate,IT,8.1,90795,31,269,0,3,1,2.4,8,126,14,3,Average,7.6,,Average Performer
10108,34,Female,Mumbai,Graduate,Operations,1.8,63168,19,31,3,,4,3.9,31,20,2,3,Excellent,,0,Low Performer
10109,47,Male,Bengaluru,Post Graduate,Sales,14.3,85690,18,89,1,5,5,2.9,21,126,11,2,Poor,6.4,,Average Performer
10110,29,Female,Mumbai,Post Graduate,Operations,7.1,132053,6,200,4,2,4,3.3,57,84,10,5,Good,1.6,8,High Performer
10111,35,Male,Delhi,Post Graduate,HR,2.3,29230,28,247,,,4,3.1,56,110,5,,Average,,16,Low Performer
10112,35,Female,Kolkata,Post Graduate,,11.6,101301,7,181,5,2,4,3.9,9,10,3,5,Excellent,3.9,,Low Performer
10113,,Male,Delhi,Graduate,HR,15.9,84758,38,,5,5,3,3.4,24,24,4,5,Excellent,4,9,Average Performer
10114,33,Male,Pune,Graduate,HR,16,45050,12,149,0,5,1,4.9,61,140,10,1,,,12,Average Performer
10115,52,Male,Chennai,Graduate,Analytics,17.3,117805,,87,5,3,3,3.1,62,101,6,2,Good,1.8,,Average Performer
10116,52,Male,Kolkata,Post Graduate,HR,15.7,87110,25,92,2,5,5,4.2,75,10,11,2,Good,4.1,,High Performer
10117,24,Male,Delhi,Graduate,HR,0.5,120033,17,24,3,5,2,2.8,2,12,6,2,Good,3.9,20,Low Performer
10118,50,Female,Hyderabad,Graduate,Analytics,7.2,94693,33,234,5,2,5,3.5,46,18,8,3,Poor,1.7,,Average Performer
10119,57,Male,,Diploma,HR,14.8,140428,23,130,5,1,1,3.7,54,135,1,3,,,12,Average Performer
10120,43,Female,Mumbai,Graduate,Sales,6.9,37575,9,55,4,4,,3,25,134,13,5,Excellent,6.9,23,Average Performer
10121,35,Female,,Post Graduate,Sales,11,58244,6,92,,3,5,3.4,12,26,3,3,,,9,Low Performer
10122,49,Female,Mumbai,Post Graduate,Finance,11.1,,2,174,1,1,1,2.8,6,89,14,4,Poor,5.5,,Low Performer
10123,56,Male,Chennai,Graduate,Sales,,118695,38,67,,3,5,2,,138,7,2,Poor,1.3,6,Average Performer
10124,,Male,Chennai,Graduate,IT,16.3,108388,9,93,5,1,2,2.6,21,48,3,2,,4.5,6,Average Performer
10125,52,Female,Pune,,IT,9.3,95332,3,,4,5,2,4.1,22,12,11,1,Average,6.6,8,Low Performer
10126,27,Female,Bengaluru,,IT,8.6,145386,16,194,2,3,,,47,28,2,1,Good,0.3,15,Average Performer
10127,42,Male,Mumbai,Post Graduate,Analytics,18,63037,25,93,,1,3,2.8,13,31,13,4,Good,4,14,Low Performer
10128,48,Male,Chennai,Post Graduate,Sales,9.1,130666,24,30,4,4,5,3.2,51,,9,1,Poor,3.2,24,Average Performer
10129,22,Male,,Diploma,IT,,145048,,180,0,,5,2.1,38,160,5,,,1.7,2,Average Performer
10130,26,Other,Chennai,Post Graduate,Finance,9.5,101040,26,268,5,3,,2.7,40,73,2,5,Average,3,12,Average Performer
10131,48,Male,Delhi,Graduate,Analytics,14.7,129264,,46,4,3,3,4.3,35,29,14,2,Poor,7.9,10,High Performer
10132,48,Male,,Graduate,Finance,14.1,28715,35,123,,1,4,3.8,5,48,11,5,Poor,,7,Average Performer
10133,40,Female,Delhi,Post Graduate,Sales,,79726,23,173,2,3,2,2.6,22,179,13,1,Poor,,20,Average Performer
10134,,Male,Mumbai,Graduate,HR,12.9,136208,4,112,2,5,1,2.8,9,,11,,Poor,4.8,20,Low Performer
10135,31,Male,Bengaluru,Graduate,Finance,4.9,71648,,151,3,2,2,,59,113,1,,Average,2,23,Average Performer
10136,48,Female,Pune,Post Graduate,HR,15.6,39134,39,180,4,1,2,2.6,29,124,8,2,Good,4.9,,Average Performer
10137,45,Female,,Graduate,Analytics,16.1,74143,7,193,4,4,4,3,,17,2,2,Good,7.2,9,Low Performer
10138,53,Male,Hyderabad,Diploma,,3.9,87123,8,164,0,3,2,4,4,57,0,,,4.5,16,Low Performer
10139,21,Male,,Post Graduate,Finance,,139657,19,78,4,5,2,3.7,78,41,13,5,Good,5.9,19,Low Performer
10140,47,Male,Delhi,Graduate,Operations,17.6,84686,2,22,,3,3,3.4,56,119,11,1,Good,3.6,8,Low Performer
10141,33,Male,Kolkata,,Analytics,,130841,1,144,4,4,3,4.7,42,44,14,2,Excellent,4.2,,Low Performer
10142,23,Female,Chennai,,Analytics,16.1,50264,38,119,3,5,3,2.7,51,82,14,4,Excellent,5.6,13,Average Performer
10143,26,Male,Hyderabad,Graduate,IT,,127885,13,229,3,4,3,4.2,76,99,11,5,Poor,6.5,,Average Performer
10144,28,Male,Bengaluru,Graduate,Sales,10,70330,,50,2,5,3,2.5,5,138,12,4,Excellent,5.3,,Average Performer
10145,47,Male,Hyderabad,Graduate,Finance,11.8,132672,32,42,2,,1,3.8,1,,12,5,Good,7.8,0,Average Performer
10146,29,Female,Mumbai,,Finance,10,56345,,,2,5,4,4.6,16,107,8,2,Poor,6.6,24,High Performer
10147,57,Male,Delhi,Graduate,Analytics,1.4,57222,6,13,4,4,5,3.4,11,50,4,5,Good,6.2,23,Low Performer
10148,53,,Kolkata,Graduate,Analytics,13.5,75755,38,,4,,3,4.2,43,163,6,2,Good,6.8,,High Performer
10149,44,Male,Mumbai,Graduate,Sales,9.3,,33,112,1,2,4,4.5,53,106,13,3,Poor,2.2,8,High Performer
10150,35,Female,Kolkata,Post Graduate,Analytics,11.8,86207,23,102,5,3,5,2.4,77,95,1,,Good,3.5,16,Average Performer
10151,52,Female,Mumbai,,HR,9.3,122691,10,279,5,2,2,4.1,6,98,13,2,Excellent,4.5,14,Average Performer
10152,,Male,Mumbai,Graduate,HR,9.1,123137,15,,,2,2,4.8,31,72,0,5,Poor,3.7,19,Average Performer
10153,44,Male,Pune,Graduate,Operations,3.5,116818,23,43,,3,4,3.7,28,43,5,4,Average,6.8,4,Average Performer
10154,32,Male,Pune,Graduate,HR,5.4,116510,,94,,5,1,2.6,45,84,,2,Average,0.2,3,Average Performer
10155,22,Male,Chennai,Graduate,HR,3.3,117251,,223,,2,1,2.4,72,168,4,,Average,1.7,3,Low Performer
10156,23,Male,Delhi,Post Graduate,Sales,3.9,36212,8,111,3,2,4,2.8,77,139,9,2,Good,7.1,24,Low Performer
10157,,Male,Bengaluru,Post Graduate,Finance,17.5,46174,,100,4,1,1,2.3,52,89,5,,Good,0.5,14,Low Performer
10158,37,Male,Bengaluru,Graduate,HR,3.2,122649,,36,1,1,1,3.5,24,70,1,1,Good,1.8,4,Average Performer
10159,22,Female,Bengaluru,Graduate,Operations,5.2,69319,17,130,,4,2,2.2,52,59,6,1,Good,2.8,16,Average Performer
10160,22,Male,Mumbai,Graduate,Analytics,10.8,105846,34,151,,3,,2.7,28,76,0,1,Poor,6,,Average Performer
10161,48,Female,Pune,Post Graduate,HR,11.2,72808,6,284,3,5,1,3.3,5,46,10,4,,4.5,5,Low Performer
10162,43,Male,,Graduate,Operations,3.2,60616,5,28,0,5,4,3.4,75,159,7,2,Excellent,7.6,14,Low Performer
10163,57,Female,Mumbai,Diploma,Sales,14.4,92329,29,213,5,4,1,3.7,37,134,13,1,Poor,,24,Average Performer
10164,52,Female,Kolkata,,Analytics,14.2,145957,,,5,5,3,,2,74,6,,Average,7,19,High Performer
10165,53,Male,Pune,Graduate,Operations,,74152,,,2,5,3,2.1,,136,6,1,Average,2.3,13,Average Performer
10166,21,Female,,Post Graduate,HR,5.6,60351,30,144,2,1,4,2.2,54,25,5,3,Poor,2,9,Average Performer
10167,39,Male,Hyderabad,Diploma,Finance,16.9,140377,15,86,3,5,,2.2,46,5,9,3,Poor,4,5,Average Performer
10168,22,Male,Hyderabad,Post Graduate,Analytics,,78616,15,212,2,5,2,3.3,32,170,4,4,Poor,0.6,9,Average Performer
10169,46,Female,Delhi,,Analytics,,41010,16,,,4,4,2.1,2,,8,3,Excellent,,22,Average Performer
10170,52,Male,Kolkata,,Finance,1.9,,33,28,3,4,1,4.2,68,,,,Average,2.8,,Low Performer
10171,26,Male,Delhi,Post Graduate,,7.8,37050,10,65,1,,3,2.7,58,95,13,,Excellent,1.3,8,Average Performer
10172,52,Female,,Post Graduate,,10.3,,19,193,4,5,2,4.8,77,146,8,3,Excellent,6.9,12,Average Performer
10173,24,Female,Mumbai,Post Graduate,Analytics,3.8,110661,37,88,3,5,4,3.5,17,92,4,3,Excellent,3.1,13,Average Performer
10174,31,Female,Chennai,PhD,HR,8.3,106116,3,229,5,5,4,3.3,,86,7,4,Excellent,7.9,0,Low Performer
10175,37,Male,,PhD,,,137233,36,172,,1,1,4.3,65,21,10,,Excellent,7.2,0,High Performer
10176,44,Female,Hyderabad,Diploma,IT,6.2,108155,4,190,2,5,5,,24,77,2,,Poor,1.6,18,Low Performer
10177,25,Male,Chennai,Graduate,Finance,14.2,,11,76,2,1,3,3.8,19,179,6,2,Excellent,4,8,Average Performer
10178,54,Female,Mumbai,Post Graduate,,15.2,31869,33,78,2,,2,4.8,70,60,9,1,Good,4.8,4,High Performer
10179,26,Female,Chennai,Post Graduate,Sales,6.2,80167,,157,,3,4,3.3,,131,3,3,Poor,6.6,16,Average Performer
10180,42,Female,Bengaluru,Post Graduate,Finance,15.2,81576,32,,4,5,3,4.4,68,,4,3,Average,7.1,15,High Performer
10181,31,Female,Kolkata,Post Graduate,,2.3,39677,16,57,0,4,2,3.1,28,132,3,3,Average,5,11,Low Performer
10182,36,Male,Chennai,Graduate,Sales,15.2,143662,,178,2,4,2,4.5,17,150,12,,Poor,0.3,4,Average Performer
10183,53,Female,Delhi,Post Graduate,HR,3.2,94794,11,114,4,,4,2.8,71,52,8,5,Excellent,3.9,5,Average Performer
10184,29,Female,Mumbai,Post Graduate,HR,2,93675,6,55,1,,3,2.9,,141,11,1,Poor,7.1,19,Low Performer
10185,26,Male,Kolkata,Graduate,,11.7,60325,27,257,5,4,2,4,,58,6,3,Average,5.7,22,Average Performer
10186,36,Female,Delhi,Post Graduate,Operations,8.8,58503,12,77,1,4,,2.6,65,167,13,2,Average,,10,Average Performer
10187,49,Male,,Graduate,Analytics,,37514,22,,0,2,3,2.7,25,178,,4,Poor,5.4,18,Average Performer
10188,23,Female,Hyderabad,Graduate,Finance,6.9,74196,37,216,2,2,3,2.9,22,5,14,5,Good,0.4,20,Average Performer
10189,40,Female,Bengaluru,Graduate,HR,5.5,112633,21,255,1,2,4,4,4,45,5,3,Good,7.7,5,Average Performer
10190,56,Female,Hyderabad,Graduate,Finance,9.3,101324,33,172,5,4,3,4.7,79,77,5,1,Good,7.3,,High Performer
10191,39,Male,Delhi,Post Graduate,Operations,8.5,103550,17,267,4,4,5,4,10,,10,2,Average,1,9,Average Performer
10192,46,Female,Delhi,Post Graduate,Operations,6.5,98331,,234,,5,2,4.5,18,81,9,4,Good,0.9,14,Average Performer
10193,23,Male,Delhi,Post Graduate,Sales,12.6,41653,,243,1,5,2,3.6,79,44,6,1,,4.3,17,Average Performer
10194,39,Female,Pune,Post Graduate,Analytics,13.8,115294,18,279,2,1,3,2.2,11,143,4,,Poor,6.1,20,Average Performer
10195,40,Male,Bengaluru,Graduate,IT,15.4,61755,13,147,5,4,4,2.3,1,178,9,4,Excellent,3.1,6,Average Performer
10196,52,Male,Kolkata,Graduate,Finance,17.5,122296,27,,0,,1,3.7,42,52,12,1,Excellent,1.1,22,Average Performer
10197,27,Female,Delhi,PhD,Analytics,5.2,116354,10,178,2,5,3,3,21,47,13,2,Poor,4.1,2,High Performer
10198,53,Male,Delhi,Graduate,IT,13,89988,32,113,3,2,1,2.7,25,,2,2,Excellent,2.7,23,Average Performer
10199,38,Female,Kolkata,Diploma,Finance,7.4,55921,3,207,1,2,3,3.4,32,,10,1,Good,,15,Low Performer
10200,21,Female,,Post Graduate,Analytics,12.3,64668,,189,,2,1,,23,108,10,3,Average,5.2,12,Average Performer
10201,31,Female,,Post Graduate,HR,8.8,73175,,295,1,3,3,3.2,68,15,2,1,Good,7.1,,Average Performer
10202,48,Female,Delhi,,Finance,17.9,71452,3,96,0,5,4,4.4,20,29,6,3,Poor,4.5,,Low Performer
10203,45,Male,Mumbai,Graduate,Analytics,13.3,64149,,263,2,2,1,4.2,45,44,10,1,Excellent,5.5,18,High Performer
10204,43,Male,Pune,Graduate,Operations,17.2,33839,2,210,5,2,5,4.2,,29,13,,Poor,5.3,,Low Performer
10205,51,Male,Hyderabad,,IT,15.1,20155,11,,2,4,4,5,,88,9,2,Poor,4.4,24,Average Performer
10206,50,Male,Mumbai,Graduate,Analytics,16.3,72512,10,185,1,2,3,2.9,7,110,,1,,2.5,11,Average Performer
10207,55,Male,Pune,Diploma,HR,14.8,104150,39,7,4,4,1,3.9,56,123,3,2,Excellent,,23,Average Performer
10208,27,Female,Delhi,Graduate,Finance,8.5,144041,33,88,3,1,2,4.6,4,112,9,4,Average,,3,High Performer
10209,36,Female,Bengaluru,Post Graduate,Finance,4.9,44190,7,218,5,2,4,3.7,,78,13,5,Good,7.3,23,Low Performer
10210,46,Male,Chennai,Post Graduate,Finance,7,28928,15,38,5,4,1,4.4,65,117,7,3,Poor,,,Average Performer
10211,22,Female,Chennai,Post Graduate,HR,0.9,66425,26,,2,2,,,36,135,3,,Poor,4.6,23,Low Performer
10212,21,Other,Delhi,Graduate,IT,9.7,92134,11,293,2,1,1,,28,43,0,5,Excellent,7.3,,Average Performer
10213,32,Female,Hyderabad,Graduate,Finance,,127875,,,1,2,2,2.2,68,95,,4,Poor,,21,Average Performer
10214,25,Female,Mumbai,Post Graduate,IT,9.7,142264,,,,4,,5,31,167,14,2,Poor,7.4,5,High Performer
10215,57,Male,Bengaluru,Graduate,Analytics,17.5,128191,39,276,3,1,2,4.4,47,172,0,5,Good,,18,High Performer
